,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.0850373903910319,0.0008842260014431748,0.002027750015258789,0.00011836772137395505,0.5,7,50,"OrderedDict([('learning_rate', 0.5), ('max_depth', 7), ('n_estimators', 50)])",-0.3126786158790384,-0.1370708841910391,-0.19428301117113767,-0.21467750374707173,0.0731276069744911,10,-2.4058080118085957e-08,-1.1144840128938406e-08,-1.0640648109932938e-08,-1.52811894523191e-08,6.209611352150054e-09,2
1,0.03543519973754883,0.00033508389048121363,0.0016530354817708333,9.486030476435896e-05,0.5,3,50,"OrderedDict([('learning_rate', 0.5), ('max_depth', 3), ('n_estimators', 50)])",-0.19919464693106614,-0.07015868779080871,-0.13979974681583493,-0.13638436051256994,0.05273403919994462,3,-0.015533864935118031,-0.016097255689999874,-0.01632607121521723,-0.015985730613445045,0.00033289245468827027,13
2,0.11566551526387532,0.002052905768530719,0.0022350152333577475,0.00014866111648696788,0.5,5,100,"OrderedDict([('learning_rate', 0.5), ('max_depth', 5), ('n_estimators', 100)])",-0.43872553999802266,-0.06171380074878767,-0.2677577735099075,-0.2560657047522393,0.15413628436507917,12,-2.0287272312032507e-08,-7.681780631649078e-08,-6.211947616273006e-08,-5.3074851597084456e-08,2.3948267075196534e-08,4
3,0.17229358355204263,0.0032259849437875935,0.002494335174560547,0.0001237579991770488,0.1,7,100,"OrderedDict([('learning_rate', 0.1), ('max_depth', 7), ('n_estimators', 100)])",-0.13208825570037688,-0.11438476135803491,-0.17757179391732886,-0.14134827032524688,0.026614046091640194,4,-8.687753317970524e-05,-4.8224729861145e-05,-8.722066082257188e-05,-7.410764128780738e-05,1.830251826179778e-05,8
4,0.11327258745829265,0.0021006442948468965,0.002125898996988932,4.052336624139774e-06,0.5,5,100,"OrderedDict([('learning_rate', 0.5), ('max_depth', 5), ('n_estimators', 100)])",-0.43872553999802266,-0.06171380074878767,-0.2677577735099075,-0.2560657047522393,0.15413628436507917,12,-2.0287272312032507e-08,-7.681780631649078e-08,-6.211947616273006e-08,-5.3074851597084456e-08,2.3948267075196534e-08,4
5,0.06348570187886556,0.0029310383910079833,0.0016110738118489583,5.290397900089132e-05,0.5,9,100,"OrderedDict([('learning_rate', 0.5), ('max_depth', 9), ('n_estimators', 100)])",-0.35758598034705874,-0.5023650621967044,-0.6166089095565375,-0.4921866507001002,0.10599031248030898,15,-1.178328473919932e-08,-1.2102446900132256e-08,-1.1060374843084911e-08,-1.1648702160805496e-08,4.359379893402796e-10,1
6,0.0842737356821696,0.0020474194365952838,0.0019276142120361328,2.009044970935969e-05,0.5,7,50,"OrderedDict([('learning_rate', 0.5), ('max_depth', 7), ('n_estimators', 50)])",-0.3126786158790384,-0.1370708841910391,-0.19428301117113767,-0.21467750374707173,0.0731276069744911,10,-2.4058080118085957e-08,-1.1144840128938406e-08,-1.0640648109932938e-08,-1.52811894523191e-08,6.209611352150054e-09,2
7,0.05911882718404134,0.0009676338060555277,0.001825253168741862,4.059624277067987e-05,0.1,5,50,"OrderedDict([('learning_rate', 0.1), ('max_depth', 5), ('n_estimators', 50)])",-0.10610891540428444,-0.09504304171550847,-0.13259331729953447,-0.11124842480644244,0.01575471816695405,2,-0.02877941112376535,-0.03328899218029539,-0.029257687496175144,-0.030442030266745298,0.0020225530359762292,14
8,0.058124939600626625,0.0022094295677821604,0.0017663637797037761,2.501186526911452e-05,0.5,5,50,"OrderedDict([('learning_rate', 0.5), ('max_depth', 5), ('n_estimators', 50)])",-0.22632446943799084,-0.049445938195636266,-0.2153443982554092,-0.16370493529634542,0.0809175683628656,7,-5.685843294731948e-05,-0.0001010479684674297,-7.761798328365271e-05,-7.850812823280064e-05,1.8051279380210905e-05,9
9,0.08658297856648763,0.025122895166636267,0.0017657279968261719,7.123357722058792e-06,1.0,3,100,"OrderedDict([('learning_rate', 1.0), ('max_depth', 3), ('n_estimators', 100)])",-0.46679598136709255,-0.0817236702096622,-0.24239421445938103,-0.2636379553453786,0.15792116936445383,14,-1.0813983198394966e-05,-2.2688121771488645e-05,-1.4912740022560729e-05,-1.613828166414811e-05,4.924446226037761e-06,7
10,0.08643905321756999,0.013055980852063378,0.0016647179921468098,8.076546424949586e-05,0.1,9,50,"OrderedDict([('learning_rate', 0.1), ('max_depth', 9), ('n_estimators', 50)])",-0.11665052880119693,-0.1622322194133171,-0.197397305802323,-0.15876001800561235,0.03305603964965299,6,-0.0032562297817026447,-0.003301591039665205,-0.003276093809957388,-0.0032779715437750794,1.85661940850221e-05,11
11,0.3514595031738281,0.013430792326448306,0.003422260284423828,4.630151827455647e-05,0.1,7,200,"OrderedDict([('learning_rate', 0.1), ('max_depth', 7), ('n_estimators', 200)])",-0.24806581769071742,-0.1360415145989811,-0.1986785048765839,-0.19426194572209413,0.045840234269842996,9,-5.581455403929337e-08,-3.595525646368372e-08,-1.0608976914996398e-07,-6.595319321764703e-08,2.9516170378592337e-08,6
12,0.2434062957763672,0.022481515602620353,0.002988576889038086,0.00016505741936435526,0.1,5,200,"OrderedDict([('learning_rate', 0.1), ('max_depth', 5), ('n_estimators', 200)])",-0.23265193222846187,-0.04131591641009438,-0.1763047829834148,-0.1500908772073237,0.08028177202553508,5,-7.59949631075368e-05,-0.0001953956009805842,-0.0001689847706716812,-0.0001467917782532674,5.120888442113328e-05,10
13,0.07970118522644043,0.01557108385601995,0.001819928487141927,3.22152429421061e-05,0.1,3,100,"OrderedDict([('learning_rate', 0.1), ('max_depth', 3), ('n_estimators', 100)])",-0.19147717712000312,-0.14496030118028327,-0.167446197232524,-0.16796122517760345,0.018993926698394607,8,-0.08735689664890063,-0.10043824786563404,-0.07907682940602404,-0.08895732464018624,0.008793883365465252,15
14,0.12546435991923013,0.016752064805458797,0.0021299521128336587,1.4458382718282704e-05,0.1,5,100,"OrderedDict([('learning_rate', 0.1), ('max_depth', 5), ('n_estimators', 100)])",-0.13031421618301894,-0.05302595801676971,-0.13826963978851098,-0.1072032713294332,0.03844657028066859,1,-0.003662607507485361,-0.0054439757246706865,-0.004080589091804393,-0.004395724107986813,0.0007606141115869146,12
