,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.0013933976491292317,0.0005990716562525252,0.017035881678263348,0.0023780050138483663,kd_tree,7,uniform,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 7), ('weights', 'uniform')])",-1.1864143042577617,-1.4053855722092172,-1.4964165182495133,-1.3627387982388308,0.13010099581352905,9,-0.449277676354851,-0.4505842299802927,-0.44308603398813184,-0.44764931344109177,0.003270515771596673,13
1,0.0016472339630126953,0.0006975528157192147,0.01727604866027832,0.002365850381831787,kd_tree,5,uniform,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 5), ('weights', 'uniform')])",-1.1927754431796977,-1.8293153842743899,-2.5816436797503384,-1.8679115024014754,0.5676595164295642,11,-0.40636193594918546,-0.4169752848220069,-0.41042280909940443,-0.41125334329019897,0.004372499960405114,9
2,0.0009358723958333334,5.744398134141937e-05,0.014423608779907227,0.0009549356900567356,ball_tree,9,uniform,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 9), ('weights', 'uniform')])",-1.1862370834974747,-0.9555841371220432,-1.2362270808114038,-1.126016100476974,0.12222940333003346,5,-0.4749156622054936,-0.4567245606809642,-0.4644780202174368,-0.46537274770129816,0.007453386103944826,14
3,0.0009769598642985027,8.49362260872609e-05,0.014893849690755209,0.0010450942068865369,kd_tree,9,uniform,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 9), ('weights', 'uniform')])",-1.1862370834974747,-0.9555841371220432,-1.2362270808114038,-1.126016100476974,0.12222940333003346,5,-0.4749156622054936,-0.4567245606809642,-0.4644780202174368,-0.46537274770129816,0.007453386103944826,14
4,0.0008262793223063151,8.553930850117514e-05,0.009785731633504232,0.00745479674087199,brute,5,uniform,"OrderedDict([('algorithm', 'brute'), ('n_neighbors', 5), ('weights', 'uniform')])",-1.1927754431796977,-1.8293153842743899,-2.5816436797503384,-1.8679115024014754,0.5676595164295642,11,-0.40636193594918546,-0.4169752848220069,-0.41042280909940443,-0.41125334329019897,0.004372499960405114,9
5,0.0008920033772786459,0.00015452385337846484,0.004083077112833659,0.00042679741894973745,brute,5,uniform,"OrderedDict([('algorithm', 'brute'), ('n_neighbors', 5), ('weights', 'uniform')])",-1.1927754431796977,-1.8293153842743899,-2.5816436797503384,-1.8679115024014754,0.5676595164295642,11,-0.40636193594918546,-0.4169752848220069,-0.41042280909940443,-0.41125334329019897,0.004372499960405114,9
6,0.0009934107462565105,9.37023100053377e-05,0.01507894198099772,0.0006402621729161274,ball_tree,5,distance,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 5), ('weights', 'distance')])",-1.1675455049129402,-1.8177471183693121,-2.5708669970096634,-1.852053206763972,0.5734169415709364,10,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
7,0.0008289813995361328,4.211896617226817e-05,0.004733482996622722,0.0007220964821961191,brute,5,uniform,"OrderedDict([('algorithm', 'brute'), ('n_neighbors', 5), ('weights', 'uniform')])",-1.1927754431796977,-1.8293153842743899,-2.5816436797503384,-1.8679115024014754,0.5676595164295642,11,-0.40636193594918546,-0.4169752848220069,-0.41042280909940443,-0.41125334329019897,0.004372499960405114,9
8,0.0008208751678466797,2.327808764039254e-05,0.006589571634928386,0.0007602977300043554,brute,7,distance,"OrderedDict([('algorithm', 'brute'), ('n_neighbors', 7), ('weights', 'distance')])",-1.1645615508708071,-1.3912956082689008,-1.484145391775623,-1.3466675169717772,0.13423165980618976,8,-1.3766804637651863e-08,-1.363543182211816e-08,-1.236496378868387e-08,-1.3255733416151298e-08,6.3214850632804e-10,7
9,0.0010816256205240886,0.00011707045510199278,0.017581939697265625,0.003926068000729219,kd_tree,7,distance,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 7), ('weights', 'distance')])",-1.1645615504409512,-1.3912956082689008,-1.484145391404197,-1.3466675167046829,0.13423165987377558,7,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
10,0.0015854040781656902,0.0006123946106511263,0.023824612299601238,0.005317629660117816,auto,3,distance,"OrderedDict([('algorithm', 'auto'), ('n_neighbors', 3), ('weights', 'distance')])",-2.920300436899391,-2.4513175512053125,-4.360041778708371,-3.2438865889376913,0.8121321905976896,15,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
11,0.0040349165598551435,0.0007709991727027063,0.02627245585123698,0.0052382063700642904,brute,9,distance,"OrderedDict([('algorithm', 'brute'), ('n_neighbors', 9), ('weights', 'distance')])",-1.1668732088203762,-0.9472331448344464,-1.2301914937441054,-1.114765949132976,0.12125106649295281,4,-1.732719492620674e-08,-1.6498938907633285e-08,-1.6078370867559595e-08,-1.6634834900466538e-08,5.18807075905925e-10,8
12,0.00296171506245931,0.002319191221251439,0.03639547030131022,0.026253762162723366,auto,9,distance,"OrderedDict([('algorithm', 'auto'), ('n_neighbors', 9), ('weights', 'distance')])",-1.1668732083905202,-0.9472331448344466,-1.2301914932061455,-1.114765948810371,0.12125106626067178,1,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
13,0.0017027854919433594,0.001044239863056789,0.02137891451517741,0.008820857984264378,kd_tree,9,distance,"OrderedDict([('algorithm', 'kd_tree'), ('n_neighbors', 9), ('weights', 'distance')])",-1.1668732083905202,-0.9472331448344466,-1.2301914932061455,-1.114765948810371,0.12125106626067178,1,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
14,0.0020225048065185547,0.001038378486431292,0.019521474838256836,0.0011525011574680896,ball_tree,9,distance,"OrderedDict([('algorithm', 'ball_tree'), ('n_neighbors', 9), ('weights', 'distance')])",-1.1668732083905202,-0.9472331448344466,-1.2301914932061455,-1.114765948810371,0.12125106626067178,1,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,-2.2204460492503136e-16,0.0,1
