,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.09374856948852539,0.02300182000051395,0.020271937052408855,0.005249154638033709,5,5,3,50,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 5), ('min_samples_split', 3), ('n_estimators', 50)])",-0.5375899049693165,-0.5022961160929659,-0.5286779550566802,-0.5228546587063209,0.014985458920793495,9,-0.43660505910864456,-0.45582708814063877,-0.4368881875467474,-0.44310677826534356,0.008995360023210667,11
1,0.13991546630859375,0.008676132306343745,0.019482930501302082,0.004890126055396087,3,5,5,100,"OrderedDict([('max_depth', 3), ('min_samples_leaf', 5), ('min_samples_split', 5), ('n_estimators', 100)])",-0.5446107466647793,-0.519350693360836,-0.5414767375467686,-0.5351460591907946,0.01124205466287525,15,-0.4867511455291826,-0.5056572188476012,-0.49137904774878804,-0.49459580404185727,0.008046553832422308,15
2,0.17357826232910156,0.026211249360410298,0.03443352381388346,0.006677436813214643,5,3,4,100,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 3), ('min_samples_split', 4), ('n_estimators', 100)])",-0.5347824591142332,-0.49902263161463944,-0.5280324010982774,-0.5206124972757166,0.015513059987254042,8,-0.41343625356904135,-0.43464634628079357,-0.426106687932458,-0.4247297625940976,0.008713550778369872,8
3,0.1755525271097819,0.026436071123701613,0.027943929036458332,0.0010120377199780105,5,2,4,100,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 2), ('min_samples_split', 4), ('n_estimators', 100)])",-0.5332311249228101,-0.4950371786350286,-0.528453310448246,-0.5189072046686949,0.016990987511506763,7,-0.40511598907113455,-0.4241730158191186,-0.4183108298446932,-0.41586661157831545,0.00796965993915323,7
4,0.16421961784362793,0.008901730239440218,0.023360013961791992,0.0059476134554806515,9,1,3,100,"OrderedDict([('max_depth', 9), ('min_samples_leaf', 1), ('min_samples_split', 3), ('n_estimators', 100)])",-0.5226663440256979,-0.49013043849510957,-0.5163106512210464,-0.5097024779139513,0.014080654648992592,1,-0.24393217811715953,-0.2575434899981754,-0.2487067711199602,-0.2500608130784317,0.00563867744537948,1
5,0.1493681271870931,0.006597304147494282,0.02367885907491048,0.006926060725088188,3,3,2,100,"OrderedDict([('max_depth', 3), ('min_samples_leaf', 3), ('min_samples_split', 2), ('n_estimators', 100)])",-0.542942432876682,-0.5182922525280722,-0.5410681147753339,-0.5341009333933626,0.011204584184214111,14,-0.48334570144002686,-0.5038560328236386,-0.4879030927004232,-0.49170160898802956,0.008793557029886509,14
6,0.13651442527770996,0.016296087803319325,0.018796682357788086,0.006440183815525235,5,4,5,100,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 4), ('min_samples_split', 5), ('n_estimators', 100)])",-0.538556447539139,-0.5018393874885744,-0.5292089359752957,-0.5232015903343363,0.015579939578972643,10,-0.42431741010107493,-0.4447879261610156,-0.4347109222141843,-0.43460541949209164,0.0083573861567019,10
7,0.08349744478861491,0.009507937563111519,0.017846345901489258,0.0022601869621707432,5,3,2,50,"OrderedDict([('max_depth', 5), ('min_samples_leaf', 3), ('min_samples_split', 2), ('n_estimators', 50)])",-0.5402503026238938,-0.5008035270615367,-0.5291399694258859,-0.5233979330371055,0.016608035444412684,11,-0.4189777501819294,-0.43826640042259535,-0.42155212538174136,-0.4262654253287554,0.008550805198715785,9
8,0.23936223983764648,0.025644869191210163,0.02751898765563965,0.0019386467904860013,3,4,4,200,"OrderedDict([('max_depth', 3), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 200)])",-0.5417137515896358,-0.5179860551093153,-0.5388655659844054,-0.5328551242277855,0.010578120584421516,12,-0.4841451958827604,-0.5032587528801011,-0.48581144038993135,-0.4910717963842643,0.00864428613451237,12
9,0.23221492767333984,0.035953333855343855,0.031286001205444336,0.006072611318852531,3,4,3,200,"OrderedDict([('max_depth', 3), ('min_samples_leaf', 4), ('min_samples_split', 3), ('n_estimators', 200)])",-0.5417137515896359,-0.5179860551093153,-0.5388655659844055,-0.5328551242277856,0.010578120584421568,13,-0.4841451958827604,-0.503258752880101,-0.48581144038993135,-0.4910717963842643,0.008644286134512317,12
10,0.1267580191294352,0.011165300337548653,0.015264431635538736,0.0005610283621295348,7,4,4,100,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 100)])",-0.5419124370456557,-0.49406967167598975,-0.5183455291040121,-0.5181092126085525,0.019532441964907974,5,-0.3881488653808127,-0.4040752274343167,-0.3937118631003489,-0.39531198530515943,0.006599623492673324,5
11,0.07367936770121257,0.009922099567577603,0.021045128504435223,0.008298276941487447,9,4,4,50,"OrderedDict([('max_depth', 9), ('min_samples_leaf', 4), ('min_samples_split', 4), ('n_estimators', 50)])",-0.5338282391400723,-0.4956567223959551,-0.5218052335667878,-0.5170967317009384,0.015935153278253185,4,-0.3754000040366459,-0.38623185238893454,-0.371809916704568,-0.37781392437671607,0.006130161269067068,4
12,0.23979433377583823,0.026513201835855694,0.02636114756266276,0.0006725724964205208,9,5,3,200,"OrderedDict([('max_depth', 9), ('min_samples_leaf', 5), ('min_samples_split', 3), ('n_estimators', 200)])",-0.5319670309451581,-0.4973295597530274,-0.5187408818851827,-0.5160124908611228,0.01427168971148941,3,-0.3937086014182652,-0.41251608085119923,-0.39748119490228295,-0.4012352923905825,0.008124048933826108,6
13,0.08191172281901042,0.02191525412002024,0.014991124471028646,0.0007862808662115978,7,3,3,50,"OrderedDict([('max_depth', 7), ('min_samples_leaf', 3), ('min_samples_split', 3), ('n_estimators', 50)])",-0.5357069618850804,-0.5026760951572642,-0.5164375590815896,-0.5182735387079781,0.013547143735589278,6,-0.36333276165684714,-0.3843567246915153,-0.3701862251107426,-0.372625237153035,0.008754554632784337,3
14,0.16524712244669595,0.012666151447849409,0.01943071683247884,0.005449844331489959,9,2,2,100,"OrderedDict([('max_depth', 9), ('min_samples_leaf', 2), ('min_samples_split', 2), ('n_estimators', 100)])",-0.5204984147972126,-0.49422457600468267,-0.5178566716031927,-0.5108598874683626,0.011812278707515039,2,-0.29729826847257923,-0.3085601996416391,-0.30031745228117174,-0.3020586401317967,0.004759662086222339,2
