,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score,rank_train_score
0,0.08482011159261067,0.004939105955855446,0.011508623758951822,0.002850582685965625,SAMME.R,0.5,100,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.5), ('n_estimators', 100)])",-0.33732863720618855,-0.28764618386334406,-0.15805193904675346,-0.261008920038762,0.075574208536081,9,-0.3352613699381006,-0.2742353332251782,-0.1458528414973887,-0.25178318155355583,0.07893867661053164,9
1,0.16582767168680826,0.0035755930790865335,0.01764504114786784,6.444077791054166e-05,SAMME.R,0.1,200,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.1), ('n_estimators', 200)])",-0.2982851399269479,-0.3205869713042201,-0.21064276361115486,-0.27650495828077426,0.04745323617850317,12,-0.29649762163593474,-0.3087275345977637,-0.20338104756524317,-0.26953540126631387,0.04704389140627614,12
2,0.20099774996439615,0.05385997420454863,0.01804526646931966,0.00141900836889238,SAMME.R,1.0,200,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 1.0), ('n_estimators', 200)])",-0.28592282322669205,-0.2889214524305761,-0.15579164895395925,-0.24354530820374246,0.06206328210287138,8,-0.2808981043683009,-0.27453861659803513,-0.14679082247245626,-0.23407584781293075,0.06177441491799281,7
3,0.1518066724141439,0.001423227792071315,0.014740387598673502,0.0002719243999282232,SAMME,0.5,200,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.5), ('n_estimators', 200)])",-0.3708153149225878,-0.38611241601569124,-0.38248566159583197,-0.379804464178037,0.006526455912057708,14,-0.3702900743135199,-0.37909629738914136,-0.3789688289766202,-0.3761184002264271,0.00412157730804986,14
4,0.09081061681111653,0.009616566578725502,0.011707226435343424,0.002706994876060721,SAMME.R,0.5,100,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.5), ('n_estimators', 100)])",-0.33732863720618855,-0.2876461838633441,-0.15805193904675344,-0.261008920038762,0.07557420853608103,9,-0.3352613699381007,-0.27423533322517823,-0.14585284149738867,-0.2517831815535559,0.0789386766105317,10
5,0.15490452448527017,0.0014853655089664727,0.01560815175374349,0.002425502855827316,SAMME,1.0,200,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 1.0), ('n_estimators', 200)])",-0.42574748914861493,-0.4425457604427939,-0.4578945331575464,-0.4420625942496517,0.013128422012455546,15,-0.42511991561439266,-0.43573493729137636,-0.455800977700319,-0.438885276868696,0.012722037894127835,15
6,0.03856984774271647,0.0005745634602782126,0.004699150721232097,0.0002814045869406715,SAMME,0.5,50,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.5), ('n_estimators', 50)])",-0.2553935475442558,-0.27457856179994367,-0.27579707314403956,-0.2685897274960797,0.009344358956597338,11,-0.2517137735344479,-0.2646337485890022,-0.27017511430327545,-0.26217421214224185,0.007734867609097581,11
7,0.16441631317138672,0.005715222790834027,0.017060120900472004,0.00029463349180380816,SAMME.R,1.0,200,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 1.0), ('n_estimators', 200)])",-0.28592282322669205,-0.288921452430576,-0.1557916489539592,-0.24354530820374243,0.06206328210287138,7,-0.28089810436830104,-0.274538616598035,-0.14679082247245623,-0.23407584781293075,0.06177441491799283,7
8,0.08022514979044597,0.003058120038302982,0.009159485499064127,7.838191840961879e-05,SAMME.R,0.1,100,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.1), ('n_estimators', 100)])",-0.20373711260753177,-0.21846637575515754,-0.15076832264362947,-0.19099060366877293,0.029070164732559432,4,-0.19790091237077265,-0.20138470120988625,-0.14473656236562377,-0.18134072531542755,0.02592209810323648,4
9,0.09383765856424968,0.013968379330420755,0.009533087412516275,0.000387342581665463,SAMME.R,0.1,100,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.1), ('n_estimators', 100)])",-0.20373711260753166,-0.21846637575515748,-0.15076832264362947,-0.19099060366877288,0.029070164732559398,3,-0.19790091237077254,-0.2013847012098862,-0.14473656236562377,-0.18134072531542747,0.025922098103236438,3
10,0.05129845937093099,0.009527349648636342,0.005309661229451497,4.1001218289953214e-05,SAMME.R,0.1,50,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.1), ('n_estimators', 50)])",-0.10056201529473631,-0.12016597978821313,-0.09197969266592722,-0.10423589591629222,0.01179660246429929,1,-0.09282660983489498,-0.08873519383301,-0.08774643461563725,-0.08976941276118074,0.0021991288666394033,1
11,0.07043520609537761,0.03560863810234027,0.006609996159871419,0.0007171409540250312,SAMME.R,1.0,50,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 1.0), ('n_estimators', 50)])",-0.16789571383346483,-0.18326720390737802,-0.1105785447743441,-0.15391382083839564,0.0312786433042715,2,-0.15864780150127322,-0.1607714196267034,-0.09805477311609681,-0.1391579980813578,0.029077296589083673,2
12,0.05484135945638021,0.009018918038815322,0.006272077560424805,0.00021126415454308543,SAMME.R,0.5,50,"OrderedDict([('algorithm', 'SAMME.R'), ('learning_rate', 0.5), ('n_estimators', 50)])",-0.26749783659013787,-0.280950972072127,-0.11897273112030024,-0.22247384659418837,0.07339213123956606,6,-0.26136914637106506,-0.26512089499564323,-0.10503988313222833,-0.21050997483297887,0.0745943433376332,6
13,0.1168519655863444,0.024473054443035974,0.01244505246480306,0.0024464277623330723,SAMME,0.1,100,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.1), ('n_estimators', 100)])",-0.19342529099372624,-0.20743505173994886,-0.19746197132071816,-0.19944077135146443,0.005888128520611684,5,-0.18840713846212587,-0.1925845422775619,-0.1945766450130294,-0.19185610858423904,0.0025708188714345954,5
14,0.12032206853230794,0.006255205542136789,0.010472297668457031,0.00015730941441146088,SAMME,0.5,100,"OrderedDict([('algorithm', 'SAMME'), ('learning_rate', 0.5), ('n_estimators', 100)])",-0.3154109690614742,-0.3267137975401316,-0.3285172090413881,-0.32354732521433127,0.005800189183427131,13,-0.313077887309721,-0.31791232491897864,-0.32355267371843893,-0.3181809619823795,0.004280530495233804,13
